date,title,title_detail,url
2024/06/14,佐賀県 唐津市（サル出没）,（佐賀）唐津市西唐津２丁目でサル出没　６月１３日夜,http://this.kiji.is/1174237353901114287?c=134733695793120758
2024/06/14,長野県 木曽町（クマ出没）,（長野）木曽町福島でクマ出没　６月１３日夕方,http://this.kiji.is/1174236381727195550?c=134733695793120758
2024/06/14,兵庫県 加古川市（声かけ）,（兵庫）加古川市野口町長砂で声かけ　６月１３日夕方,http://this.kiji.is/1174236184843403528?c=134733695793120758
2024/06/14,群馬県 長野原町（クマ出没）,（群馬）長野原町北軽井沢でクマ出没　６月１４日朝,http://this.kiji.is/1174235855992815825?c=134733695793120758
2024/04/30,広島県 広島市南区（暴行）,（広島）広島市南区松原町で暴行　４月２７日［解決］,http://this.kiji.is/1158050512174973169?c=134733695793120758
2024/05/31,愛知県 春日井市（サル出没）,（愛知）春日井市玉野台でサル出没　５月３１日午後,http://this.kiji.is/1169289168662086168?c=134733695793120758
2024/06/14,群馬県 沼田市（イノシシ出没）,（群馬）沼田市原町でイノシシ出没　６月１３日夕方,http://this.kiji.is/1174235140405183212?c=134733695793120758
2024/04/30,広島県 広島市南区（暴行）,（広島）広島市南区元宇品町で暴行　４月２７日［解決］,http://this.kiji.is/1158050054600246089?c=134733695793120758
2024/05/31,大阪府 池田市（サル出没）,（大阪）池田市畑３丁目付近でサル出没　５月３０日夕方,http://this.kiji.is/1169288522427384340?c=134733695793120758
2024/06/14,静岡県 袋井市（下半身露出）,（静岡）袋井市宇刈で下半身露出　６月１２日午後,http://this.kiji.is/1174234458635568001?c=134733695793120758
2024/04/30,広島県 福山市（暴行）,（広島）福山市霞町１丁目で暴行　４月２６日［解決］,http://this.kiji.is/1158049602677277451?c=134733695793120758
2024/05/31,群馬県 玉村町（シカ出没）,（群馬）玉村町五料でシカ出没　５月３０日夕方,http://this.kiji.is/1169288159982174729?c=134733695793120758
2024/06/14,北海道 根室市（クマ出没）,（北海道）根室市東梅でクマ出没　６月１３日夕方,http://this.kiji.is/1174234024112669233?c=134733695793120758
2024/04/30,三重県 いなべ市（下半身露出）,（三重）いなべ市大安町石榑東で下半身露出　４月２６日深夜［解決］,http://this.kiji.is/1158049133954433801?c=134733695793120758
2024/05/31,岐阜県 飛騨市（クマ出没）,（岐阜）飛騨市古川町上気多付近でクマ出没　５月３１日夕方,http://this.kiji.is/1169287486899323872?c=134733695793120758
2024/06/14,長野県 佐久市（クマ出没）,（長野）佐久市香坂でクマ出没　６月１３日夜,http://this.kiji.is/1174233303666655858?c=134733695793120758
2024/04/30,三重県 松阪市（下半身露出）,（三重）松阪市肥留町で下半身露出　４月２９日未明［解決］,http://this.kiji.is/1158048540534506231?c=134733695793120758
2024/05/31,岐阜県 飛騨市（クマ出没）,（岐阜）飛騨市宮川町打保でクマ出没　５月３１日夜,http://this.kiji.is/1169286835421380802?c=134733695793120758
2024/06/14,長野県 大町市（クマ出没）,（長野）大町市平温泉郷付近でクマ出没　６月１３日夕方,http://this.kiji.is/1174232950902210780?c=134733695793120758
2024/04/30,福岡県 小竹町（盗撮）,（福岡）小竹町勝野付近で盗撮の疑い　４月２５日夕方,http://this.kiji.is/1158047876400874392?c=134733695793120758
2024/05/31,岐阜県 飛騨市（クマ出没）,（岐阜）飛騨市古川町太江でクマ出没　５月３１日夕方,http://this.kiji.is/1169286137613549661?c=134733695793120758
2024/06/14,茨城県 水戸市（つきまとい）,（茨城）水戸市開江町でつきまとい　６月１３日午後,http://this.kiji.is/1174232625575084946?c=134733695793120758
2024/04/30,愛媛県 松山市（つきまとい）,（愛媛）松山市本町５丁目でつきまとい　４月２６日朝,http://this.kiji.is/1158046618060800495?c=134733695793120758
2024/05/31,岩手県 岩手町（クマ出没）,（岩手）岩手町久保第４地割でクマ出没　５月３１日昼前,http://this.kiji.is/1169285079128834124?c=134733695793120758
2024/06/14,群馬県 沼田市（クマ出没）,（群馬）沼田市下川田町でクマ出没　６月１４日朝,http://this.kiji.is/1174232253791175124?c=134733695793120758
2024/04/30,愛媛県 松山市（手招き）,（愛媛）松山市畑寺３丁目で手招き　４月２９日昼前,http://this.kiji.is/1158045748735640270?c=134733695793120758
2024/05/31,秋田県 由利本荘市（クマ出没）,（秋田）由利本荘市水林でクマ出没　５月３１日朝,http://this.kiji.is/1169284257885700406?c=134733695793120758
2024/06/14,愛媛県 松山市（声かけ）,（愛媛）松山市小坂４丁目で声かけ　６月１２日朝,http://this.kiji.is/1174231737080710101?c=134733695793120758
